X,Y,id,name,year,year 2,notes,books,1414Revolt,1431Revolt,years_all,year_oldest
-0.218700563247357,51.9611638005742,202,Willian,1489,,,,,,,
-0.526623072668319,51.8856106041533,203,Dunstable,,,,,1,,,
-0.50938617082068,51.7920210311608,204,Great Gaddesden,,,,,1,,,
-0.744771941643995,51.7647368299467,205,Wendover,,,,,,1,,
-0.58696356920206,51.7372825277275,206,Ashley Green,1521,,,,,,,
-0.612297278891287,51.7126405621256,207,Chesham,1428,,,,1,,,
-0.603338625957317,51.6757853443593,208,Amersham,1464,,,,1,,,
-0.500779059963866,51.569166034378,209,Denham,1521,,,,,,,
-0.479380353525383,51.5480735097487,210,Uxbridge,1521,,,,,,,
-0.335293462159529,51.5094492415296,211,Hanwell,1477,,,,,,,
-0.335849125442775,51.5794004448501,212,Harrow,1513,1521,,,,,,
-0.534510089270315,51.7226141510565,213,Bovingdon,1428,,,,1,,,
-0.199944092421046,51.6527479982385,214,Barnet,1427,,,1,,,,
-0.127299623186853,51.4993849320625,215,London,1415,,,1,1,1,,
0,0,216,Holcombe,,,I couldn't find it.,,,,,
0,0,217,Leigh,,,I couldn't find it.,,,,,
1.44369655935436,52.4675431526167,218,Ditchingham,1424,1428,,1,,,,
1.36882943698718,52.4828522430734,219,Bedingham,1428,,,,,,,
1.41748966450575,52.450306250769,220,Earsham,1424,1431,,,,,,
1.43987495677367,52.4495464662797,221,Bungay,1428,1511,,,,,,
-1.3533536475692,51.5954012793941,222,West Hendred,1499,1521,,,,,,
-1.33762497463323,51.5975899123261,223,East Hendred,1491,1521,,,,1,,
-0.83269715116746,51.7235780567519,224,Princes Risborough,1464,,,,,,,
-0.704781195350772,51.7018051281023,225,Missenden,1521,,,,,,,
-0.66847030080068,51.6811208458851,226,Little Missenden,1511,1521,,,1,,,
-0.446046226564109,51.7121245890768,227,Kings Langley,1521,,,,,,,
-0.763023779488582,51.6287977767239,228,Wycombe,1464,1502,Called High Wycombe now.,,1,,,
-0.803870700840685,51.6450594328091,229,West Wycombe,1464,1521,,,,,,
-0.753430082802331,51.6642921864496,230,Hughenden,1464,1521,,,,,,
-0.676181546364097,51.6306008473777,231,Penn,1521,,,,,,,
-0.64624376947083,51.613193844525,232,Beaconsfield,1521,,,,,,,
-0.869711129871863,51.5721201218328,233,Hambledon,1464,1521,,,1,,,
-0.774522607431679,51.5717799198227,234,Great Marlow,1464,,"There's Marlow and Little Marlow. So I suppose just ""Marlow"" could be the great one.",,1,,,
-0.708557437663445,51.5593965666532,235,Cookham,1443,1521,,1,,,,
-0.720532548420752,51.5271680962249,236,Maidenhead,1508,,,,,,,
-0.70157195638835,51.5088425479448,237,Bray,1507,,,,,,,
-0.659976590613916,51.5029457131023,238,Dorney,1521,,,,,,,
-0.510798009162805,51.5201032344809,239,Iver,1521,,,1,,,,
-0.609071029828356,51.5061095917967,240,Chalvey,1521,,,,,,,
-0.504515612042021,51.4288497152914,241,Staines,1521,,,,,,,
-0.693486488613766,51.4794377542008,242,Fifield,1504,,,,,,,
0.551902350012149,51.1591035414429,243,Staplehurst,1425,1512,,,,,,
0.53459740776248,51.0960074086269,244,Cranbrook,1425,1511,,,,,,
0.71256841933935,51.102879489232,245,Halden,1425,,,,,,,
0.833589614416982,51.1439305317902,246,Great Chart,1511,,,,,,,
-2.31976549780448,51.2295140174771,247,Frome,,,,,,1,,
-1.26051251899906,51.400839749789,248,Thatcham,,,,,,1,,
-1.39037896634061,51.8179500943679,249,Hanborough,,,There's Long and Church Hanborough. I placed it in the middle.,,1,,,
-1.350643371555,51.8289272792287,250,Bladon,,,,,1,,,
-1.00050746270783,52.5286547737068,251,Smeeton Westerby,,,,,1,,,
-0.892946927165164,52.3053461742438,252,Pitsford,,,,,1,,,
-0.89548710217429,52.2583869567761,253,Kingsthorpe,,,,,1,,,
-0.61577300942833,51.6831733980132,254,Chesham Bois,1464,,,,,,,
-0.690390650321398,51.7974359131558,255,Drayton Beauchamp,,,,,1,,,
-0.77535043232305,51.5575481357315,256,Bisham,1433,1503,,1,,,,
-0.660186381853514,51.5155728777124,257,Burnham Abbey,1521,,,,,,,
-0.602970073779657,51.5755334820015,258,Hedgerley,1428,,,,,,,
-0.900816933666653,51.6585427724782,259,Stokenchurch,1464,,,,,,,
-0.893071667902221,51.6138912586459,260,Turville,1454,,,,1,,,
-2.76126832651115,51.3608490034958,261,Wrington,1476,,,,,,,
0,0,262,Hinton,,,I couldn't find it.,,,,,
-2.34157918294265,53.6210930184962,263,Holcombe,1518,,,,,,,
